aed,aud,bnd,cad,chf,cny,egp,eur,gbp,hkd,idr,inr,jpy,khr,krw,mmk,npr,nzd,php,pkr,sar,sgd,thb,twd,usd,vnd,xdr,date
,,,,2.6788,,,4.1254,5.963,0.487234,,,0.032336,,,,,,,,,2.1697,,,3.8,,,2003-08-28
,,,,2.6918,,,4.1391,5.9988,0.487211,,,0.032441,,,,,,,,,2.1645,,,3.8,,,2003-08-29
,,,,2.7034,,,4.158,5.9701,0.487234,,,0.032547,,,,,,,,,2.1659,,,3.8,,,2003-09-02
,,,,2.6724,,,4.095,5.9488,0.487211,,,0.032633,,,,,,,,,2.1645,,,3.8,,,2003-09-03
,,,,2.6817,,,4.1169,5.963,0.487211,,,0.03278,,,,,,,,,2.1645,,,3.8,,,2003-09-04
,,,,2.702,,,4.1563,6.0096,0.487211,,,0.032511,,,,,,,,,2.1584,,,3.8,,,2003-09-05
,,,,2.7427,,,4.2176,6.0423,0.487211,,,0.032391,,,,,,,,,2.1612,,,3.8,,,2003-09-08
,,,,2.7263,,,4.2034,6.0168,0.487211,,,0.032566,,,,,,,,,2.1603,,,3.8,,,2003-09-09
,,,,2.7563,,,4.2644,6.0459,0.487211,,,0.032491,,,,,,,,,2.1626,,,3.8,,,2003-09-10
,,,,2.7427,,,4.2535,6.0459,0.487211,,,0.032447,,,,,,,,,2.1697,,,3.8,,,2003-09-11
,,,,2.7412,,,4.2517,6.0606,0.487211,,,0.032425,,,,,,,,,2.1683,,,3.8,,,2003-09-12
,,,,2.7533,,,4.2827,6.1013,0.487234,,,0.032391,,,,,,,,,2.1687,,,3.8,,,2003-09-15
,,,,2.7533,,,4.2882,6.0976,0.487211,,,0.032389,,,,,,,,,2.1668,,,3.8,,,2003-09-16
,,,,2.73,,,4.2391,6.035,0.487211,,,0.032681,,,,,,,,,2.1734,,,3.8,,,2003-09-17
,,,,2.742,,,4.2735,6.1463,0.487211,,,0.032922,,,,,,,,,2.1734,,,3.8,,,2003-09-19
,,,,2.7925,,,4.3497,6.2578,0.487258,,,0.033797,,,,,,,,,2.1954,,,3.8,,,2003-09-22
,,,,2.8066,,,4.3573,6.2657,0.488663,,,0.033891,,,,,,,,,2.1959,,,3.8,,,2003-09-23
,,,,2.798,,,4.3497,6.2735,0.490436,,,0.033876,,,,,,,,,2.1896,,,3.8,,,2003-09-24
,,,,2.8114,,,4.363,6.2893,0.48974,,,0.034003,,,,,,,,,2.1925,,,3.8,,,2003-09-25
,,,,2.8241,,,4.3611,6.2972,0.489356,,,0.033906,,,,,,,,,2.1925,,,3.8,,,2003-09-26
,,,,2.8225,,,4.3516,6.3012,0.490244,,,0.034058,,,,,,,,,2.1978,,,3.8,,,2003-09-29
,,,,2.8686,,,4.4092,6.3251,0.490412,,,0.03418,,,,,,,,,2.1983,,,3.8,,,2003-09-30
,,,,2.8835,,,4.4366,6.3171,0.490918,,,0.034134,,,,,,,,,2.1983,,,3.8,,,2003-10-01
,,,,2.8893,,,4.4543,6.3412,0.491135,,,0.034251,,,,,,,,,2.1993,,,3.8,,,2003-10-02
,,,,2.8802,,,4.4405,6.3492,0.491739,,,0.034257,,,,,,,,,2.2036,,,3.8,,,2003-10-03
,,,,2.8466,,,4.3995,6.3131,0.492514,,,0.034207,,,,,,,,,2.1978,,,3.8,,,2003-10-06
,,,,2.8785,,,4.4524,6.3613,0.492538,,,0.034205,,,,,,,,,2.2022,,,3.8,,,2003-10-07
,,,,2.8918,,,4.4763,6.3251,0.492732,,,0.034654,,,,,,,,,2.2085,,,3.8,,,2003-10-08
,,,,2.9044,,,4.4964,6.3171,0.491352,,,0.034686,,,,,,,,,2.2046,,,3.8,,,2003-10-09
,,,,2.8802,,,4.4543,6.3251,0.491715,,,0.034781,,,,,,,,,2.2022,,,3.8,,,2003-10-10
,,,,2.8969,,,4.4863,6.3211,0.49128,,,0.035005,,,,,,,,,2.2085,,,3.8,,,2003-10-13
,,,,2.8588,,,4.4287,6.3131,0.491159,,,0.034826,,,,,,,,,2.1983,,,3.8,,,2003-10-14
,,,,2.8827,,,4.4563,6.3532,0.490605,,,0.034902,,,,,,,,,2.1877,,,3.8,,,2003-10-15
,,,,2.8531,,,4.4189,6.3331,0.490629,,,0.03466,,,,,,,,,2.1791,,,3.8,,,2003-10-16
,,,,2.845,,,4.4053,6.3573,0.490701,,,0.034613,,,,,,,,,2.1825,,,3.8,,,2003-10-17
,,,,2.8596,,,4.4405,6.3735,0.490701,,,0.034813,,,,,,,,,2.1891,,,3.8,,,2003-10-20
,,,,2.8466,,,4.4189,6.3452,0.490244,,,0.034597,,,,,,,,,2.1758,,,3.8,,,2003-10-21
,,,,2.8531,,,4.4307,6.3613,0.490076,,,0.034686,,,,,,,,,2.1801,,,3.8,,,2003-10-22
,,,,2.8944,,,4.4903,6.4309,0.4901,,,0.034854,,,,,,,,,2.1911,,,3.8,,,2003-10-23
,,,,2.8902,,,4.4723,6.4391,0.489956,,,0.034893,,,,,,,,,2.1796,,,3.8,,,2003-10-27
,,,,2.8794,,,4.4524,6.4309,0.490004,,,0.035038,,,,,,,,,2.1777,,,3.8,,,2003-10-28
,,,,2.8563,,,4.4366,6.4475,0.489692,,,0.035135,,,,,,,,,2.1782,,,3.8,,,2003-10-29
,,,,2.8571,,,4.4326,6.4558,0.489716,,,0.035096,,,,,,,,,2.1867,,,3.8,,,2003-10-30
,,,,2.849,,,4.4131,6.4391,0.489189,,,0.034928,,,,,,,,,2.1844,,,3.8,,,2003-10-31
,,,,2.8329,,,4.3995,6.4475,0.489333,,,0.034591,,,,,,,,,2.1825,,,3.8,,,2003-11-03
,,,,2.7917,,,4.3535,6.3694,0.489309,,,0.03436,,,,,,,,,2.1768,,,3.8,,,2003-11-04
,,,,2.784,,,4.3592,6.398,0.489285,,,0.034632,,,,,,,,,2.1815,,,3.8,,,2003-11-05
,,,,2.7701,,,4.3422,6.3613,0.489213,,,0.03455,,,,,,,,,2.1825,,,3.8,,,2003-11-06
,,,,2.7586,,,4.3384,6.3371,0.489117,,,0.034484,,,,,,,,,2.181,,,3.8,,,2003-11-07
,,,,2.784,,,4.3783,6.3613,0.489069,,,0.034683,,,,,,,,,2.1863,,,3.8,,,2003-11-10
,,,,2.7663,,,4.3554,6.3331,0.490412,,,0.034923,,,,,,,,,2.1891,,,3.8,,,2003-11-11
,,,,2.7886,,,4.3745,6.3251,0.489716,,,0.034912,,,,,,,,,2.1887,,,3.8,,,2003-11-12
,,,,2.8129,,,4.4228,6.3694,0.489428,,,0.034976,,,,,,,,,2.1968,,,3.8,,,2003-11-13
,,,,2.845,,,4.4623,6.4144,0.489404,,,0.035141,,,,,,,,,2.2046,,,3.8,,,2003-11-14
,,,,2.8785,,,4.4944,6.4309,0.489764,,,0.034943,,,,,,,,,2.2129,,,3.8,,,2003-11-17
,,,,2.8711,,,4.4663,6.4267,0.489572,,,0.034912,,,,,,,,,2.2056,,,3.8,,,2003-11-18
,,,,2.9394,,,4.5496,6.4683,0.489836,,,0.035171,,,,,,,,,2.2202,,,3.8,,,2003-11-19
,,,,2.9129,,,4.5249,6.4558,0.489788,,,0.034835,,,,,,,,,2.2168,,,3.8,,,2003-11-20
,,,,2.9197,,,4.5188,6.4683,0.489668,,,0.034787,,,,,,,,,2.2095,,,3.8,,,2003-11-21
,,,,2.9283,,,4.5269,6.4809,0.489668,,,0.034899,,,,,,,,,2.2104,,,3.8,,,2003-11-24
,,,,2.9334,,,4.5331,6.4977,0.489213,,,0.034877,,,,,,,,,2.209,,,3.8,,,2003-11-27
,,,,2.9274,,,4.529,6.5104,0.489213,,,0.034721,,,,,,,,,2.2012,,,3.8,,,2003-11-28
,,,,2.9499,,,4.5662,6.5488,0.489404,,,0.034534,,,,,,,,,2.2031,,,3.8,,,2003-12-01
,,,,2.9265,,,4.5455,6.5317,0.489524,,,0.034754,,,,,,,,,2.207,,,3.8,,,2003-12-02
,,,,2.9507,,,4.5935,6.5746,0.489548,,,0.034931,,,,,,,,,2.2099,,,3.8,,,2003-12-03
,,,,2.9533,,,4.6019,6.5531,0.489476,,,0.035148,,,,,,,,,2.2143,,,3.8,,,2003-12-04
,,,,2.949,,,4.5893,6.5359,0.489261,,,0.035086,,,,,,,,,2.2153,,,3.8,,,2003-12-05
,,,,2.9797,,,4.6253,6.5703,0.489476,,,0.035285,,,,,,,,,2.2178,,,3.8,,,2003-12-08
,,,,2.9976,,,4.6425,6.5876,0.489404,,,0.035388,,,,,,,,,2.2207,,,3.8,,,2003-12-09
,,,,3.0021,,,4.649,6.6269,0.489452,,,0.035446,,,,,,,,,2.2202,,,3.8,,,2003-12-10
,,,,2.994,,,4.6318,6.6094,0.489452,,,0.035089,,,,,,,,,2.2168,,,3.8,,,2003-12-11
,,,,2.9922,,,4.6425,6.6357,0.489333,,,0.035187,,,,,,,,,2.2178,,,3.8,,,2003-12-12
,,,,2.9851,,,4.6339,6.6094,0.4895,,,0.035172,,,,,,,,,2.2198,,,3.8,,,2003-12-15
,,,,3.0111,,,4.6795,6.6357,0.4895,,,0.035264,,,,,,,,,2.2237,,,3.8,,,2003-12-16
,,,,3.0148,,,4.6816,6.6622,0.4895,,,0.035334,,,,,,,,,2.2267,,,3.8,,,2003-12-17
,,,,3.0303,,,4.7103,6.7114,0.489452,,,0.035374,,,,,,,,,2.2242,,,3.8,,,2003-12-18
,,,,3.0377,,,4.7148,6.7249,0.489309,,,0.035295,,,,,,,,,2.2267,,,3.8,,,2003-12-19
,,,,3.0285,,,4.7037,6.7069,0.48938,,,0.035241,,,,,,,,,2.2237,,,3.8,,,2003-12-22
,,,,3.023,,,4.7148,6.7024,0.489404,,,0.035354,,,,,,,,,2.2242,,,3.8,,,2003-12-23
,,,,3.0221,,,4.7125,6.7024,0.489333,,,0.03535,,,,,,,,,2.2237,,,3.8,,,2003-12-24
,,,,3.0451,,,4.7326,6.7431,0.489333,,,0.035413,,,,,,,,,2.2282,,,3.8,,,2003-12-26
,,,,3.0303,,,4.7237,6.734,0.489333,,,0.035413,,,,,,,,,2.2267,,,3.8,,,2003-12-29
,,,,3.0414,,,4.7438,6.7385,0.489452,,,0.035478,,,,,,,,,2.2321,,,3.8,,,2003-12-30
,,,,3.0572,,,4.7687,6.7568,0.489452,,,0.035512,,,,,,,,,2.2316,,,3.8,,,2003-12-31
,,,,3.0609,,,4.7755,6.7843,0.489476,,,0.035387,,,,,,,,,2.2351,,,3.8,,,2004-01-02
,,,,3.0807,,,4.81,6.8259,0.489428,,,0.035541,,,,,,,,,2.2381,,,3.8,,,2004-01-05
,,,,3.0836,,,4.8193,6.8634,0.4895,,,0.03579,,,,,,,,,2.2371,,,3.8,,,2004-01-06
,,,,3.0836,,,4.8333,6.9204,0.4895,,,0.035766,,,,,,,,,2.2386,,,3.8,,,2004-01-07
